[('1.42', '2024-08-06 12:08:22', '4207')]
[('1.41', '2024-08-06 12:08:47', '3725')]
[('1.27', '2024-08-06 12:09:06', '3685')]
[('1.98', '2024-08-06 12:09:27', '3314')]
[('1.34', '2024-08-06 12:09:50', '3505')]
[('1.27', '2024-08-06 12:10:12', '3095')]
[('1.07', '2024-08-06 12:10:27', '2886')]
[('3.58', '2024-08-06 12:11:01', '2107')]
[('4.41', '2024-08-06 12:11:34', '3374')]
[('2.06', '2024-08-06 12:12:09', '3830')]
[('1.12', '2024-08-06 12:12:28', '3691')]
[('6.46', '2024-08-06 12:13:09', '3075')]
[('3.44', '2024-08-06 12:13:42', '3889')]
[('5.72', '2024-08-06 12:14:31', '0')]
[('14.09', '2024-08-06 12:15:10', '4377')]
[('1.92', '2024-08-06 12:15:38', '4422')]
[('1.10', '2024-08-06 12:15:53', '4237')]
[('1.39', '2024-08-06 12:16:16', '3388')]
[('1.13', '2024-08-06 12:16:41', '1')]
[('1.40', '2024-08-06 12:16:58', '3540')]
[('2.98', '2024-08-06 12:17:33', '1097')]
[('8.53', '2024-08-06 12:18:03', '0')]
[('3.85', '2024-08-06 12:18:31', '4649')]
[('4.00', '2024-08-06 12:19:05', '4764')]
[('1.49', '2024-08-06 12:19:31', '4930')]
[('1.18', '2024-08-06 12:19:49', '4253')]
[('1.46', '2024-08-06 12:20:09', '3477')]
[('21.76', '2024-08-06 12:20:59', '3555')]
[('1.07', '2024-08-06 12:21:22', '4863')]
[('1.25', '2024-08-06 12:21:40', '4224')]
[('333.47', '2024-08-06 12:23:06', '3678')]
[('1.11', '2024-08-06 12:23:26', '4658')]
[('8.33', '2024-08-06 12:24:07', '4006')]
[('7.08', '2024-08-06 12:24:49', '4882')]
[('1.64', '2024-08-06 12:25:14', '5532')]
[('1.57', '2024-08-06 12:25:34', '4928')]
[('47.27', '2024-08-06 12:26:40', '4838')]
[('2.77', '2024-08-06 12:27:09', '5142')]
[('1.10', '2024-08-06 12:27:27', '5317')]
[('1.09', '2024-08-06 12:27:47', '4539')]
[('6.97', '2024-08-06 12:28:31', '4690')]
[('2.90', '2024-08-06 12:29:04', '5941')]
[('2.16', '2024-08-06 12:29:36', '5482')]
[('1.50', '2024-08-06 12:30:00', '5805')]
[('2.82', '2024-08-06 12:30:28', '4978')]
[('1.03', '2024-08-06 12:30:49', '5744')]
[('16.27', '2024-08-06 12:31:40', '5277')]
[('2.53', '2024-08-06 12:32:07', '5551')]
[('1.82', '2024-08-06 12:32:37', '5693')]
[('4.21', '2024-08-06 12:33:14', '5713')]
[('1.08', '2024-08-06 12:33:36', '6200')]
[('2.00', '2024-08-06 12:34:02', '5877')]
[('1.02', '2024-08-06 12:34:20', '5415')]
[('1.36', '2024-08-06 12:34:44', '5184')]
[('1.06', '2024-08-06 12:35:01', '4771')]
[('1.18', '2024-08-06 12:35:19', '4022')]
[('1.43', '2024-08-06 12:35:39', '3709')]
[('3.05', '2024-08-06 12:36:14', '3569')]
[('2.15', '2024-08-06 12:36:40', '4760')]
[('1.45', '2024-08-06 12:37:02', '4509')]
[('1.00', '2024-08-06 12:37:20', '3836')]
[('8.04', '2024-08-06 12:38:01', '3565')]
[('1.47', '2024-08-06 12:38:26', '4689')]
[('1.28', '2024-08-06 12:38:47', '4050')]
[('3.67', '2024-08-06 12:39:19', '3909')]
[('1.58', '2024-08-06 12:39:42', '4096')]
[('2.18', '2024-08-06 12:40:10', '3670')]
[('1.00', '2024-08-06 12:40:25', '3871')]
[('1.96', '2024-08-06 12:40:53', '3846')]
[('12.24', '2024-08-06 12:41:39', '3657')]
[('1.90', '2024-08-06 12:42:07', '3939')]
[('3.41', '2024-08-06 12:42:37', '3908')]
[('38.14', '2024-08-06 12:43:34', '3963')]
[('1.00', '2024-08-06 12:43:52', '4415')]
[('1.50', '2024-08-06 12:44:18', '4280')]
[('4.65', '2024-08-06 12:44:56', '3980')]
[('5.12', '2024-08-06 12:45:34', '4970')]
[('1.02', '2024-08-06 12:45:59', '4907')]
[('1.69', '2024-08-06 12:46:17', '4381')]
